날짜,검사,음성,확진,격리해제,사망
2020-02-06,1352,1001,24,2,0
2020-02-07,2097,1134,24,2,0
2020-02-08,2598,1683,27,3,0
2020-02-09,3110,2552,27,3,0
2020-02-10,4325,3535,28,4,0
2020-02-11,5624,4811,28,7,0
2020-02-12,6511,5921,28,7,0
2020-02-13,7242,6679,28,7,0
2020-02-14,7734,7148,28,9,0
2020-02-15,8161,7647,29,9,0
2020-02-16,8718,7980,30,10,0
2020-02-17,9772,8923,31,12,0
2020-02-18,11173,9973,51,16,0
2020-02-19,13202,11238,104,16,1
2020-02-20,16400,13016,204,17,1
2020-02-21,21586,15116,433,18,2
2020-02-22,26179,17520,602,18,5
2020-02-23,32756,20292,833,22,7
2020-02-24,40304,25447,977,22,10
2020-02-25,53553,31576,1261,24,12
2020-02-26,66652,39318,1766,26,13
2020-02-27,81167,48593,2337,27,13
2020-02-28,94055,55723,3150,28,17
2020-02-29,98921,61825,3736,30,18
2020-03-01,109591,71580,4212,31,22
2020-03-02,125851,85484,4812,34,28
2020-03-03,136707,102965,5328,41,32
2020-03-04,146541,118965,5766,88,35
2020-03-05,164740,136624,6284,108,42
2020-03-06,178189,151802,6767,118,44
2020-03-07,188518,162008,7134,130,50
2020-03-08,196618,171778,7382,166,51
2020-03-09,210144,184179,7513,247,54
2020-03-10,222395,196100,7755,288,60
2020-03-11,234998,209402,7869,333,66
2020-03-12,248647,222728,7979,510,67
2020-03-13,261335,235615,8086,714,72
2020-03-14,268212,243778,8162,834,75
2020-03-15,274504,251297,8236,1137,75
2020-03-16,286716,261105,8320,1401,81
2020-03-17,295647,270888,8413,1540,84
2020-03-18,307024,282555,8565,1947,91
2020-03-19,316664,292487,8652,2233,94
2020-03-20,327509,303006,8799,2612,102
2020-03-21,331780,308343,8897,2909,104
2020-03-22,338036,315447,8961,3166,111
2020-03-23,348582,324105,9037,3507,120
2020-03-24,357896,334481,9137,3730,126
2020-03-25,364942,341332,9241,4144,131
2020-03-26,376961,352410,9332,4528,139
2020-03-27,387925,361883,9478,4811,144
2020-03-28,394141,369530,9583,5033,152
2020-03-29,395194,372002,9661,5228,158
